parent_code,name,code
11,北京市,1101
13,石家庄市,1301
13,唐山市,1302
13,秦皇岛市,1303
13,邯郸市,1304
13,邢台市,1305
13,保定市,1306
13,张家口市,1307
13,承德市,1308
13,沧州市,1309
13,廊坊市,1310
13,衡水市,1311
15,呼和浩特市,1501
15,包头市,1502
15,乌海市,1503
15,赤峰市,1504
15,通辽市,1505
15,鄂尔多斯市,1506
15,呼伦贝尔市,1507
15,巴彦淖尔市,1508
15,乌兰察布市,1509
15,兴安盟,1522
15,锡林郭勒盟,1525
15,阿拉善盟,1529
22,长春市,2201
22,吉林市,2202
22,四平市,2203
22,辽源市,2204
22,通化市,2205
22,白山市,2206
22,松原市,2207
22,白城市,2208
22,延边朝鲜族自治州,2224
31,上海市,3101
33,杭州市,3301
33,宁波市,3302
33,温州市,3303
33,嘉兴市,3304
33,湖州市,3305
33,绍兴市,3306
33,金华市,3307
33,衢州市,3308
33,舟山市,3309
33,台州市,3310
33,丽水市,3311
35,福州市,3501
35,厦门市,3502
35,莆田市,3503
35,三明市,3504
35,泉州市,3505
35,漳州市,3506
35,南平市,3507
35,龙岩市,3508
35,宁德市,3509
37,济南市,3701
37,青岛市,3702
37,淄博市,3703
37,枣庄市,3704
37,东营市,3705
37,烟台市,3706
37,潍坊市,3707
37,济宁市,3708
37,泰安市,3709
37,威海市,3710
37,日照市,3711
37,莱芜市,3712
37,临沂市,3713
37,德州市,3714
37,聊城市,3715
37,滨州市,3716
37,菏泽市,3717
42,武汉市,4201
42,黄石市,4202
42,十堰市,4203
42,宜昌市,4205
42,襄阳市,4206
42,鄂州市,4207
42,荆门市,4208
42,孝感市,4209
42,荆州市,4210
42,黄冈市,4211
42,咸宁市,4212
42,随州市,4213
42,恩施土家族苗族自治州,4228
42,仙桃市,4290
42,潜江市,4290
42,天门市,4290
42,神农架林区,4290
44,广州市,4401
44,韶关市,4402
44,深圳市,4403
44,珠海市,4404
44,汕头市,4405
44,佛山市,4406
44,江门市,4407
44,湛江市,4408
44,茂名市,4409
44,肇庆市,4412
44,惠州市,4413
44,梅州市,4414
44,汕尾市,4415
44,河源市,4416
44,阳江市,4417
44,清远市,4418
44,潮州市,4451
44,揭阳市,4452
44,云浮市,4453
46,海口市,4601
46,三亚市,4602
46,三沙市,4603
46,五指山市,4690
46,琼海市,4690
46,文昌市,4690
46,万宁市,4690
46,东方市,4690
46,定安县,4690
46,屯昌县,4690
46,澄迈县,4690
46,临高县,4690
46,白沙黎族自治县,4690
46,昌江黎族自治县,4690
46,乐东黎族自治县,4690
46,陵水黎族自治县,4690
46,保亭黎族苗族自治县,4690
46,琼中黎族苗族自治县,4690
51,成都市,5101
51,自贡市,5103
51,攀枝花市,5104
51,泸州市,5105
51,德阳市,5106
51,绵阳市,5107
51,广元市,5108
51,遂宁市,5109
51,内江市,5110
51,乐山市,5111
51,南充市,5113
51,眉山市,5114
51,宜宾市,5115
51,广安市,5116
51,达州市,5117
51,雅安市,5118
51,巴中市,5119
51,资阳市,5120
51,阿坝藏族羌族自治州,5132
51,甘孜藏族自治州,5133
51,凉山彝族自治州,5134
53,昆明市,5301
53,曲靖市,5303
53,玉溪市,5304
53,保山市,5305
53,昭通市,5306
53,丽江市,5307
53,普洱市,5308
53,临沧市,5309
53,楚雄彝族自治州,5323
53,红河哈尼族彝族自治州,5325
53,文山壮族苗族自治州,5326
53,西双版纳傣族自治州,5328
53,大理白族自治州,5329
53,德宏傣族景颇族自治州,5331
53,怒江傈僳族自治州,5333
53,迪庆藏族自治州,5334
61,西安市,6101
61,铜川市,6102
61,宝鸡市,6103
61,咸阳市,6104
61,渭南市,6105
61,延安市,6106
61,汉中市,6107
61,榆林市,6108
61,安康市,6109
61,商洛市,6110
63,西宁市,6301
63,海东市,6302
63,海北藏族自治州,6322
63,黄南藏族自治州,6323
63,海南藏族自治州,6325
63,果洛藏族自治州,6326
63,玉树藏族自治州,6327
63,海西蒙古族藏族自治州,6328
65,乌鲁木齐市,6501
65,克拉玛依市,6502
65,吐鲁番市,6504
65,哈密市,6505
65,昌吉回族自治州,6523
65,博尔塔拉蒙古自治州,6527
65,巴音郭楞蒙古自治州,6528
65,阿克苏地区,6529
65,克孜勒苏柯尔克孜自治州,6530
65,喀什地区,6531
65,和田地区,6532
65,伊犁哈萨克自治州,6540
65,塔城地区,6542
65,阿勒泰地区,6543
65,自治区直辖县级行政区划,6590
12,天津市,1201
14,太原市,1401
14,大同市,1402
14,阳泉市,1403
14,长治市,1404
14,晋城市,1405
14,朔州市,1406
