parent_code,name,code
1101,东城区,110101
1101,西城区,110102
1101,朝阳区,110105
1101,丰台区,110106
1101,石景山区,110107
1101,海淀区,110108
1101,门头沟区,110109
1101,房山区,110111
1101,通州区,110112
1101,顺义区,110113
1101,昌平区,110114
1101,大兴区,110115
1101,怀柔区,110116
1101,平谷区,110117
1101,密云区,110118
1101,延庆区,110119
1301,长安区,130102
1301,桥西区,130104
1301,新华区,130105
1301,井陉矿区,130107
1301,裕华区,130108
1301,藁城区,130109
1301,鹿泉区,130110
1301,栾城区,130111
1301,井陉县,130121
1301,正定县,130123
1301,行唐县,130125
1301,灵寿县,130126
1301,高邑县,130127
1301,深泽县,130128
1301,赞皇县,130129
1301,无极县,130130
1301,平山县,130131
1301,元氏县,130132
1301,赵县,130133
1301,石家庄高新技术产业开发区,130171
1301,石家庄循环化工园区,130172
1301,辛集市,130181
1301,晋州市,130183
1301,新乐市,130184
1302,路南区,130202
1302,路北区,130203
1302,古冶区,130204
1302,开平区,130205
1302,丰南区,130207
1302,丰润区,130208
1302,曹妃甸区,130209
1302,滦县,130223
1302,滦南县,130224
1302,乐亭县,130225
1302,迁西县,130227
1302,玉田县,130229
1302,唐山市芦台经济技术开发区,130271
1302,唐山市汉沽管理区,130272
1302,唐山高新技术产业开发区,130273
1302,河北唐山海港经济开发区,130274
1302,遵化市,130281
1302,迁安市,130283
1303,海港区,130302
1303,山海关区,130303
1303,北戴河区,130304
1303,抚宁区,130306
1303,青龙满族自治县,130321
1303,昌黎县,130322
1303,卢龙县,130324
1303,秦皇岛市经济技术开发区,130371
1303,北戴河新区,130372
1304,邯山区,130402
1304,丛台区,130403
1304,复兴区,130404
1304,峰峰矿区,130406
1304,肥乡区,130407
1304,永年区,130408
1304,临漳县,130423
1304,成安县,130424
1304,大名县,130425
1304,涉县,130426
1304,磁县,130427
1304,邱县,130430
1304,鸡泽县,130431
1304,广平县,130432
1304,馆陶县,130433
1304,魏县,130434
1304,曲周县,130435
1304,邯郸经济技术开发区,130471
1304,邯郸冀南新区,130473
1304,武安市,130481
1305,桥东区,130502
1305,桥西区,130503
1305,邢台县,130521
1305,临城县,130522
1305,内丘县,130523
1305,柏乡县,130524
1305,隆尧县,130525
1305,任县,130526
1305,南和县,130527
1305,宁晋县,130528
1305,巨鹿县,130529
1305,新河县,130530
1305,广宗县,130531
1305,平乡县,130532
1305,威县,130533
1305,清河县,130534
1305,临西县,130535
1305,河北邢台经济开发区,130571
1305,南宫市,130581
1305,沙河市,130582
1306,竞秀区,130602
