province_code	province	city_code	city	county_code	county	town_code	town	village_code	village	team_code	team	school_code	school	unit_code	unit	floor_code	floor	room_code	room	type
									电子正街52号		电子城街道办事处-东门									出入口;门
									西安市雁塔区太白南路339号8号楼		电子城街道广交社区服务站									政府机构;各级政府
									电子正街52号		西安市电子城街道工作委员会									政府机构;各级政府
									丈八东路29号		雁塔区城市管理综合行政执法支队电子城中队									政府机构;行政单位
									陕西省西安市雁塔区电子四路		雁塔商圈电子城街道综合服务中心									政府机构;党派团体
									陕西省西安市雁塔区电子城电子三路3号西京社区西区		电子城街道西京社区-居民委员会									政府机构;居民委员会
									陕西省西安市雁塔区电子二路南100米		电子城街道电子二路东社区服务站									医疗;诊所
									陕西省西安市雁塔区电子二路31		电子城街道电子一路社区服务站									生活服务;其他
									陕西省西安市雁塔区等驾坡街道办事处(长鸣路南)		等驾坡街道									行政地标;乡镇
									长鸣路8号		等驾坡街道办									政府机构;各级政府
									西影路8j		西等驾坡村村委会									政府机构;各级政府
									陕西省西安市雁塔区史家湾村708号		史家湾村委会									政府机构;各级政府
									长鸣路8号		中共等驾坡街道工作委员会									政府机构;各级政府
									长鸣路8号		等驾坡街道残疾人联合会									政府机构;福利机构
									月幸路附近		月登阁村委会									政府机构;各级政府
									西安市雁塔区田家湾小学南门		田家湾村委会									政府机构;各级政府
									长鸣路8号		等驾坡街道就业服务中心									生活服务;其他
									陕西省西安市雁塔区西影路8j		雁塔区等驾坡街道办事处									政府机构;各级政府
									长鸣路8号		雁塔区等驾坡街道统计工作站									政府机构;其他
									长鸣路8号		等驾坡街道综治维稳工作中心									政府机构;其他
									19路;269路;400路;528路;607路		等驾坡									
									西安市雁塔区幸福南路11号		等驾坡									行政地标;其他
									陕西省西安市雁塔区公园南路		西安市雁塔区等驾坡街道办事处延北社区服务站									生活服务;其他
									长鸣路8号		雁塔区等驾坡街道便民服务中心									生活服务;其他
									长鸣路8号		等驾坡街道办事处-政务大厅									政府机构;行政单位
									幸福南路8号		等驾坡派出所									政府机构;公检法机构
									田白路168号		白杨寨社区服务中心									生活服务;其他
									陕西省西安市雁塔区等驾坡街道延南三路交大曲江新村附近		延南村村委会									政府机构;各级政府
									西安市雁塔区鱼斗路169号		鱼化寨街道									行政地标;其他
									雁塔区鱼斗路169号(近丈八北路)		雁塔区人民政府鱼化寨街道办事处									政府机构;各级政府
									丈八北路7号		西安日化社区									房地产;住宅区
									昆明池路2号		三五零七社区									房地产;住宅区
									西安市中国鱼化寨5号		水利社区									房地产;住宅区
									陕西省西安市雁塔区鱼斗路155附近		小烟庄村民委员会									政府机构;各级政府
									鱼斗路169		鱼化寨街道人民调解庭									政府机构;公检法机构
									鱼斗路169		鱼化寨街道流动人口管理服务中心									政府机构;行政单位
									丈八北路7号		西安市雁塔区鱼化寨街道日化社区-居民委员会									政府机构;居民委员会
									鱼斗路169		雁塔区大人鱼化寨街道工作委员会									政府机构
									陕西省西安市雁塔区昆明路南50米		西尧头村委会									政府机构;各级政府
									西安市雁塔区		西晁村委会									政府机构;各级政府
									陕西省西安市雁塔区鱼斗路169		鱼化寨街道便民服务中心									生活服务;其他
									丈八北路1号		化工坊社区居委会									政府机构;居民委员会
									鱼化寨街道鱼斗路169号		城市统一建设管理办公室									政府机构;行政单位
									鱼斗路78号		雁塔区鱼化寨街道公共法律服务工作站									公司企业;公司
									陕西省西安市雁塔区鱼斗路169		中共鱼化寨街道工作委员会									政府机构;各级政府
									北岳路与富源一路交叉口西南100米		雁塔区鱼化寨街道办事处二府庄村安置帮教工作站									政府机构;其他
									陕西省西安市未央区北岳路与富源一路交叉口南50米		西安市雁塔区鱼化寨街道办事处二府庄村民委员会									政府机构;各级政府
									陕西省西安市雁塔区昆明池路3507社区附近		三五〇七社区居民委员会									政府机构;各级政府
									西安市雁塔区		丈八沟									行政地标;村庄
									陕西省雁塔区西安市雁塔区高新路25号高新商务楼		丈八沟街道高新国际商务中心									房地产;写字楼
									陕西省西安市雁塔区丈八沟街道锦业路丈八西社区		丈八西村-5号楼									房地产;内部楼栋
									陕西省西安市雁塔区丈八沟街道锦业路丈八西社区		丈八西村-13号楼									房地产;内部楼栋
									陕西省西安市雁塔区丈八沟街道锦业路丈八西社区		丈八西村-19号楼									房地产;内部楼栋
									陕西省西安市雁塔区丈八沟街道丈八西社区		丈八西村-1号楼									房地产;内部楼栋
									陕西省西安市雁塔区丈八沟街道丈八西路袁旗寨新村东		丈八北村-19号楼									房地产;内部楼栋
									丈八沟街道高新区丈八四路10号		罗马景苑(丈八西路)									房地产;住宅区
									陕西省西安市雁塔区丈八沟街道丈八西社区北50米		丈八北村3号楼									房地产;内部楼栋
									陕西省西安市雁塔区丈八沟街道锦业二路付村花园东区		雁塔区丈八街道西付社区西府物业管理服务有限公司									公司企业;公司
									陕西省西安市雁塔区丈八沟街道丈八西路丈八家园		丈八家园卫生室									医疗;诊所
									陕西省西安市雁塔区丈八沟街道瞪羚一路丈八家园		丈八家园-7号楼									房地产;内部楼栋
									陕西省西安市雁塔区丈八沟街道丈八西路丈八家园		丈八家园-10号楼									房地产;内部楼栋
									陕西省西安市雁塔区丈八沟街道科技八路铺尚新村花园		丈八街道办事处铺尚社区居民委员会									政府机构;居民委员会
									陕西省西安市雁塔区丈八沟街道科技八路华瑞斯幼儿园		西安市雁塔区丈八街道办事处红庙村村民委员会									政府机构;各级政府
									丈八沟街道高新六路43号绿港花园六层楼内6号楼一楼		西安市雁塔区丈八街道办事处南窑头社区居民委员会									政府机构;居民委员会
									丈八沟街道高新区丈八西路丈八家园旁边		中国兰州牛肉拉面(丈八西路店)									美食;小吃快餐店
									陕西省西安市雁塔区丈八沟街道西户公路物美购物广场		小竹签烤肉(西三环丈八立交店)									美食;其他
									陕西省西安市雁塔区丈八沟街道高新六路利君明天西一门		中国兰州拉麺(丈八北路)									美食;中餐厅
									丈八沟街道丈八北路229号九鼎城一楼		中国工商银行(西安丈八北路储蓄所)									金融;银行
									陕西省西安市雁塔区曲江街道办事处(曲江路南)		曲江街道									行政地标;乡镇
									西安市雁塔区曲江大道68号		曲江街道办事处									政府机构;各级政府
									曲江路西50米		曲江街道办事处-北门									出入口;门
									陕西省西安市雁塔区曲江街道曲江池南路1036号		曲江街道曲江池社区									房地产;住宅区
									曲江路曲江街道办事处附近		中共曲江街道委员会									政府机构;各级政府
									陕西省西安市雁塔区曲江街道办事处(曲江路南)		中共曲江街道纪律检查委员会									政府机构;各级政府
									曲江路西50米		中国共产党曲江街道工作委员会									政府机构;各级政府
									曲江路西50米		雁塔区人大常委会曲江街道工作委员会									政府机构;各级政府
									陕西省西安市雁塔区曲江池东路999号附近		陕西省西安市雁塔区西安晚报(小寨发行站)曲江街道									行政地标;乡镇
									陕西省西安市雁塔区曲江街道办事处三兆村民委员会		西安市雁塔区曲江街道办事处三兆村民委员会									政府机构;各级政府
									曲江池南路1168号附近		中共西曲村支部委员会									政府机构;各级政府
									陕西省西安市雁塔区南三环附近		东曲江池社区-居民委员会									政府机构;居民委员会
									陕西省西安市雁塔区南三环附近		中共东曲江池社区支部委员会									政府机构;各级政府
									曲江路附近		曲江街道办事处-为民服务区									交通设施;服务区
									曲江街道曲江路中段68号		西安市雁塔区曲江街道新华社区居民委员会									政府机构;各级政府
									曲江路东50米		曲江街道办事处为民服务区-西南门									出入口;门
									曲江街道办		曲江街道办自行车租赁点									交通设施;其他
									G65与曲江立交交叉口东北150米		曲江街道办事处市容环卫管理办公室									政府机构;行政单位
									曲江大道北池头二路附近		中共西安市雁塔区曲江街道办事处北池头社区支部委员会									政府机构;各级政府
									陕西省西安市雁塔区雁翔路		中共雁塔区曲江街道石羊农庄支部委员会									政府机构;各级政府
